#options: 1000x570 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=290 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:35 type:b dur:2 cpbdur:2 q:39.64 aq:43.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:38.21 aq:41.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:35.19 aq:28.15 tex:33743 mv:4959 misc:1298 imb:525 pmb:511 smb:1232 d:s ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:34.88 aq:26.33 tex:20204 mv:2903 misc:1461 imb:295 pmb:380 smb:1593 d:s ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:34.64 aq:27.92 tex:72215 mv:4483 misc:1230 imb:404 pmb:356 smb:1508 d:s ref:0 ;
in:42 out:40 type:P dur:2 cpbdur:2 q:34.44 aq:27.48 tex:5066 mv:2511 misc:1215 imb:150 pmb:263 smb:1855 d:s ref:0 ;
in:40 out:41 type:B dur:2 cpbdur:2 q:34.58 aq:17.29 tex:65 mv:675 misc:644 imb:39 pmb:115 smb:2114 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:34.51 aq:31.32 tex:489 mv:1414 misc:817 imb:25 pmb:199 smb:2044 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:33.32 aq:27.32 tex:13186 mv:2705 misc:1453 imb:129 pmb:377 smb:1762 d:s ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:33.10 aq:26.80 tex:11838 mv:2953 misc:1337 imb:123 pmb:364 smb:1781 d:s ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:32.92 aq:25.42 tex:99611 mv:6562 misc:963 imb:844 pmb:268 smb:1156 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:33.01 aq:25.80 tex:129 mv:813 misc:754 imb:61 pmb:168 smb:2039 d:s ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:33.02 aq:24.69 tex:27355 mv:4099 misc:1226 imb:436 pmb:330 smb:1502 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:32.97 aq:26.30 tex:502 mv:2531 misc:911 imb:96 pmb:193 smb:1979 d:s ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:32.68 aq:27.15 tex:94569 mv:6650 misc:885 imb:1061 pmb:144 smb:1063 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:32.85 aq:25.20 tex:2669 mv:3121 misc:1234 imb:88 pmb:340 smb:1840 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:32.93 aq:27.97 tex:116 mv:515 misc:713 imb:6 pmb:182 smb:2080 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:32.77 aq:27.15 tex:1950 mv:2812 misc:1142 imb:107 pmb:322 smb:1839 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:32.48 aq:25.62 tex:66033 mv:4695 misc:1136 imb:656 pmb:217 smb:1395 d:s ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:32.82 aq:25.89 tex:87467 mv:6277 misc:944 imb:933 pmb:120 smb:1215 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:32.65 aq:23.15 tex:360 mv:670 misc:642 imb:40 pmb:133 smb:2095 d:s ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:34.78 aq:25.91 tex:8368 mv:2990 misc:1074 imb:419 pmb:164 smb:1685 d:s ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:36.87 aq:30.62 tex:51644 mv:5330 misc:946 imb:857 pmb:166 smb:1245 d:s ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:37.29 aq:28.94 tex:59283 mv:6057 misc:740 imb:1255 pmb:140 smb:873 d:s ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:37.30 aq:28.92 tex:73215 mv:5746 misc:831 imb:1195 pmb:120 smb:953 d:s ref:0 ;
